arka	node1
polyana_indushonok	node2
indushonok	node3
kulak	node4
lep_2	node5
kamennoye_more	node6
mozhzhevelnik	node7
panoramnyi	node8
pavlik	node9
podkova	node10
elektrichka	node11
induk	node12
vitya	node13
1744	node14
dvubrat_vodopad_2013	node15
otrog_semashkho_1	node16
semashkho	node17
pod_syrom	node18
indushka	node19
lep_1	node20
greben_indushka	node21
dvubrat_vodopad	node22
dolmeny_anastasievka	node23
dvubrat_vodopad	node24
otrog_semashkho_2	node25
kruglaya	node26
most_phenakho	node27
semashkho_2013	node28
kiseleva	node29
mysh_norki	node30
semiglavaya	node31
semiglavaya_pereval	node32
dolmen_semiglavaya	node33
istok_bol_pseushkho	node34
semiglavaya_1627_2014	node35
semiglavaya_1494_2014	node36
semiglavaya_1612_2014	node37
semiglavaya_lager_2014	node38
tuapse	node39
oshten	node40
